target,feature_set,features,AUROC,AUPRC,Brier,prevalence,n_test
transmittance450plus,fluo340_only,fluorescence340_450,0.5137753601881799,0.014207203209643722,0.2483518005079353,0.013774104683195593,20691
transmittance450plus,trans340_only,transmittance340,0.9750024502597275,0.24235013890763765,0.03913693663103565,0.013774104683195593,20691
transmittance450plus,combined,fluorescence340_450+transmittance340,0.9810124645142211,0.3323241544131673,0.037445755248939734,0.013774104683195593,20691
fluorescence480plus,fluo340_only,fluorescence340_450,0.7226018996813252,0.005873751345531382,0.1751624640161916,0.0022715190179305013,20691
fluorescence480plus,trans340_only,transmittance340,0.5145547415765541,0.0023716685365805833,0.24651811188029282,0.0022715190179305013,20691
fluorescence480plus,combined,fluorescence340_450+transmittance340,0.7010532141635095,0.006694905103707376,0.17504266859983747,0.0022715190179305013,20691
