feature,importance
RDkitFP-RDKit::bit221,0.00097649975
RDkitFP-RDKit::bit47,0.00096900086
RDkitFP-RDKit::bit1267,0.000967494
RDkitFP-RDKit::bit198,0.0009662139
RDkitFP-RDKit::bit746,0.00096589274
RDKit2D::fr_ketone_Topliss,0.00096457993
RDkitFP-RDKit::bit264,0.00096450903
RDkitFP-RDKit::bit1780,0.0009639013
RDkitFP-RDKit::bit574,0.0009634133
RDkitFP-RDKit::bit731,0.00096326775
RDkitFP-RDKit::bit946,0.00096276286
RDkitFP-RDKit::bit99,0.00096091843
RDkitFP-RDKit::bit559,0.0009607764
RDkitFP-RDKit::bit676,0.0009590012
RDkitFP-RDKit::bit1568,0.00095778663
RDkitFP-RDKit::bit1340,0.0009576805
RDkitFP-RDKit::bit1424,0.00095695857
RDkitFP-RDKit::bit86,0.00095677853
RDkitFP-RDKit::bit819,0.00095671194
RDkitFP-RDKit::bit443,0.0009498343
RDkitFP-RDKit::bit980,0.0009425744
RDKit2D::fr_para_hydroxylation,0.0009411454
RDkitFP-RDKit::bit4,0.0009395182
RDkitFP-RDKit::bit1731,0.0009368222
RDkitFP-RDKit::bit862,0.0009367738
RDkitFP-RDKit::bit1083,0.00093509385
RDkitFP-RDKit::bit850,0.00093464757
RDkitFP-RDKit::bit1915,0.000934436
RDkitFP-RDKit::bit860,0.00093296304
RDkitFP-RDKit::bit943,0.0009309872
RDkitFP-RDKit::bit596,0.0009295733
RDkitFP-RDKit::bit1841,0.00092833745
RDkitFP-RDKit::bit1823,0.0009278061
RDkitFP-RDKit::bit1240,0.0009255281
RDkitFP-RDKit::bit891,0.0009253918
RDkitFP-RDKit::bit800,0.00092078844
RDkitFP-RDKit::bit259,0.00091989664
RDkitFP-RDKit::bit1355,0.0009189192
RDkitFP-RDKit::bit1176,0.00091878464
RDkitFP-RDKit::bit770,0.00091498817
RDkitFP-RDKit::bit1785,0.0009115641
RDkitFP-RDKit::bit1148,0.0009100931
RDkitFP-RDKit::bit497,0.0009085215
RDkitFP-RDKit::bit606,0.0009072518
RDkitFP-RDKit::bit1359,0.0009068748
RDkitFP-RDKit::bit1379,0.0009064627
RDkitFP-RDKit::bit889,0.0009056255
RDkitFP-RDKit::bit737,0.0009004221
RDkitFP-RDKit::bit1221,0.00090039626
RDkitFP-RDKit::bit1266,0.000899292
RDkitFP-RDKit::bit761,0.00089913735
