c1cn[nH]c1
c1ccccc1
c1cncnc1
c1ccncc1
c1ccc2c(c1)OCO2
c1ccc2[nH]ccc2c1
c1ccc2nonc2c1
c1ccc2ccccc2c1
O=c1ccc2ccccc2o1
c1ccc(-c2ccccc2)cc1
c1ccc(Nc2ccccc2)cc1
c1ccc(Cc2ccccc2)cc1
N=C(c1ccccc1)c1ccccc1
c1ccc2nc3ccccc3nc2c1
c1ccc2nc3ccccc3cc2c1
O=C(Nc1ccccc1)c1ccccc1
c1ccc(-c2cc3ccccc3[nH]2)cc1
c1ccc(Nc2ccc3ccccc3c2)cc1
O=S(=O)(Nc1cccc2cccnc12)c1ccccc1
