endpoint,method,resolved_column,point_auroc,boot_mean,boot_sd,ci95_low,ci95_high,n_boot_valid
euos25_challenge_train_fluorescence340_450,individual,xgboost,0.8865998817850294,0.8863628858839079,0.0044145166912972645,0.8774203185482309,0.8945081110123948,1000
euos25_challenge_train_fluorescence340_450,consensus,xgb_limitdepth+xgboost,0.8866621718066141,0.8864102348480788,0.00442574918454548,0.8773889475850876,0.8945950746514518,1000
euos25_challenge_train_fluorescence340_450,semisup,extra_tree_cotraining,0.8863704141144956,0.886098813820573,0.004449578600446658,0.8769251962622859,0.8943653958365086,1000
euos25_challenge_train_fluorescence480plus,individual,extra_tree,0.6684282147150917,0.6698321058796073,0.05278776996060498,0.5628148933975478,0.7703414603769396,1000
euos25_challenge_train_fluorescence480plus,consensus,lgbm+extra_tree,0.6673206413796444,0.6692104195502484,0.05296189146448741,0.5623863780851274,0.7723730945758545,1000
euos25_challenge_train_fluorescence480plus,semisup,rf_ensemble,0.6470804543032418,0.6487236610358064,0.05861592089256882,0.5377620225605338,0.7695448941559951,1000
euos25_challenge_train_transmittance340,individual,xgb_limitdepth,0.8735651928494571,0.873600083959847,0.006901955877111765,0.8601135704474581,0.8861723906363925,1000
euos25_challenge_train_transmittance340,consensus,lgbm+xgb_limitdepth,0.8734142514729746,0.873466497812405,0.006887561771659355,0.8600360591402081,0.8861502401981523,1000
euos25_challenge_train_transmittance340,semisup,lgbm,0.8725999975509676,0.872655574741792,0.0069056781014276685,0.8591281429423707,0.8856566503432993,1000
euos25_challenge_train_transmittance450plus,individual,rf,0.7444733964413571,0.7447516177276703,0.01721027073278826,0.7101507631990503,0.7780995532535313,1000
euos25_challenge_train_transmittance450plus,consensus,rf+lgbm,0.7477365671936623,0.7479110101913857,0.017213691609536702,0.7126028048839279,0.7810191233775067,1000
euos25_challenge_train_transmittance450plus,semisup,rf_cotraining,0.7456524583604116,0.7458581271892271,0.017178224077398014,0.7121424644203035,0.7797531562449199,1000
