endpoint,comparison,point_diff,boot_mean_diff,boot_sd_diff,ci95_low,ci95_high,pct_resamples_positive,ci95_excludes_zero
euos25_challenge_train_fluorescence340_450,consensus_minus_individual,6.229002158475438e-05,4.7348964170856654e-05,0.00016639367245527381,-0.000266910884301691,0.0003770472324585882,60.0,False
euos25_challenge_train_fluorescence340_450,semisup_minus_individual,-0.00022946767053377837,-0.0002640720633348298,0.0005335908010360877,-0.0012747515230921215,0.0008380162735471902,31.0,False
euos25_challenge_train_fluorescence340_450,semisup_minus_consensus,-0.00029175769211853275,-0.00031142102750568646,0.0005144169555265895,-0.0012947681345036183,0.0006764270994474963,26.3,False
euos25_challenge_train_fluorescence480plus,consensus_minus_individual,-0.0011075733354473094,-0.0006216863293589962,0.013970214816643864,-0.028701266482429134,0.027134264564389176,49.2,False
euos25_challenge_train_fluorescence480plus,semisup_minus_individual,-0.021347760411849936,-0.021108444843801068,0.03674471469422258,-0.0925162865716231,0.05271007694604443,27.3,False
euos25_challenge_train_fluorescence480plus,semisup_minus_consensus,-0.020240187076402627,-0.02048675851444207,0.032386313765254755,-0.08067341877731092,0.047849549388596084,24.9,False
euos25_challenge_train_transmittance340,consensus_minus_individual,-0.00015094137648252737,-0.00013358614744194008,0.0005617486471288875,-0.001182339494604484,0.0009552815974754547,40.699999999999996,False
euos25_challenge_train_transmittance340,semisup_minus_individual,-0.0009651952984894852,-0.0009445092180549448,0.0011175563669464175,-0.00311777541480579,0.0012438153034564046,19.8,False
euos25_challenge_train_transmittance340,semisup_minus_consensus,-0.0008142539220069578,-0.0008109230706130048,0.0006982394553425665,-0.0021687127755922212,0.0006266537492843116,12.6,False
euos25_challenge_train_transmittance450plus,consensus_minus_individual,0.0032631707523052,0.003159392463715426,0.002963817154398737,-0.002529990150477712,0.008696350465593214,84.6,False
euos25_challenge_train_transmittance450plus,semisup_minus_individual,0.0011790619190544804,0.0011065094615567948,0.002563721304002446,-0.0038615825949724985,0.0061739213149001266,66.8,False
euos25_challenge_train_transmittance450plus,semisup_minus_consensus,-0.0020841088332507196,-0.002052883002158631,0.003665642240114766,-0.00930233769041428,0.005256803734322623,28.499999999999996,False
