endpoint,condition,model,point_delta,boot_mean_delta,boot_sd_delta,ci95_low,ci95_high,pct_resamples_positive,ci95_excludes_zero
transmittance340,only_dyesChromophores,xgboost,-0.20268913640794883,-0.20315378809151838,0.010597413866677383,-0.2238193761082763,-0.18243368702878307,0.0,True
transmittance340,only_dyesSimMurcko,xgboost,-0.20789002224669517,-0.20787471226146728,0.01064435102962484,-0.22868528888547615,-0.18600709269663765,0.0,True
transmittance340,only_pred_all,xgboost,0.00046482241354506293,0.0006379601215952556,0.003965210494098046,-0.006945800864401014,0.008406769412203243,57.4,False
transmittance340,drop_pred_fluo340,catboost,-0.0011241355310370738,-0.0010208516437298111,0.002729121395976395,-0.00637437988233803,0.00426670058679806,35.699999999999996,False
transmittance340,drop_pred_trans340,catboost,-0.013869769538144117,-0.014075305477147915,0.0040786134567573394,-0.022113450982574664,-0.006241507592596108,0.0,True
transmittance340,drop_RDkitFP-RDKit,catboost,-0.003641059530449353,-0.0037266485370909047,0.0030019816718065326,-0.009464935925210766,0.0019305093359973894,11.3,False
transmittance340,drop_RDKit2D,catboost,0.0017916943828675258,0.001795959091443738,0.002543633948030541,-0.0031396782635268543,0.0068131563970356655,75.1,False
transmittance340,drop_xtb3,catboost,-0.0037631161489199982,-0.0038064460269489914,0.002677416459895178,-0.009071703767246902,0.0012529455485816323,7.8,False
transmittance340,drop_QM9,catboost,0.0004755863062745336,0.0004221135778904139,0.0024995980126511037,-0.004421065531884366,0.005576129292015991,57.99999999999999,False
transmittance340,drop_dyesChromophores,catboost,-0.002548968799326201,-0.0025640709325772597,0.0023071967727028766,-0.0070857426582510985,0.0019343149086379929,13.200000000000001,False
transmittance340,drop_dyesSimMurcko,catboost,-0.0017231115984597256,-0.0017127066222196404,0.0025776835065001312,-0.006686447952527838,0.003231646841486088,24.9,False
transmittance340,drop_pred_all,catboost,-0.017552205867249815,-0.017620595932756434,0.004097889387921456,-0.02571552059818686,-0.009611969314461578,0.0,True
transmittance340,only_pred_fluo340,catboost,-0.1078960757019638,-0.10823823171047119,0.008034952680329272,-0.12334602785015565,-0.09273651515555197,0.0,True
transmittance340,only_pred_trans340,catboost,-0.007914719949186577,-0.007666298583622819,0.003936064192647965,-0.015606998781365318,-0.0005529439471421875,1.5,True
transmittance340,only_RDkitFP-RDKit,catboost,-0.02311101582706998,-0.023267588437141475,0.00465397755977896,-0.03281497966993906,-0.013878441329666404,0.0,True
transmittance340,only_RDKit2D,catboost,-0.05140055032129731,-0.05147245716921299,0.006010194926294224,-0.06355477093707798,-0.03909136793485595,0.0,True
transmittance340,only_xtb3,catboost,-0.12587513410427809,-0.12609648655694064,0.007516025728164147,-0.14089518863192274,-0.11204200136508925,0.0,True
transmittance340,only_QM9,catboost,-0.20043197772802457,-0.20074423987605297,0.01017508919313418,-0.2200028938091229,-0.1804180156731663,0.0,True
transmittance340,only_dyesChromophores,catboost,-0.2051132341764852,-0.2055520623632266,0.010652071374813783,-0.2273683546712649,-0.18493782861232336,0.0,True
transmittance340,only_dyesSimMurcko,catboost,-0.21322535799324716,-0.21323742552215189,0.01074644527154745,-0.23441332447969912,-0.19335283611808202,0.0,True
transmittance340,only_pred_all,catboost,-0.004400160846132817,-0.004329854345283931,0.003658567212942266,-0.012108710262700603,0.002665402706445249,12.2,False
transmittance450plus,drop_pred_fluo340,xgboost,0.01407027180041276,0.013859664270486523,0.010620787364070919,-0.007126602216945398,0.033696795574164155,90.3,False
transmittance450plus,drop_pred_trans340,xgboost,-0.018947630150784378,-0.019109051809357205,0.01282394924209576,-0.043944509956223676,0.005551188276369009,6.2,False
transmittance450plus,drop_RDkitFP-RDKit,xgboost,-0.008985408700991404,-0.009445380699956811,0.012049540992123207,-0.032746173639468676,0.014197590452495978,20.7,False
transmittance450plus,drop_RDKit2D,xgboost,-0.0019895084149066378,-0.002426810711266698,0.01169114150694358,-0.025719093570476456,0.01924199746408636,42.3,False
transmittance450plus,drop_xtb3,xgboost,-0.004321716812741516,-0.004496706093565735,0.012491010511313355,-0.029696467600133253,0.02016949787583045,35.3,False
transmittance450plus,drop_QM9,xgboost,-0.004804686381490564,-0.004963980569390196,0.011153403310531728,-0.028187287219912927,0.015365534179641599,34.4,False
transmittance450plus,drop_dyesChromophores,xgboost,-0.0067180795172697705,-0.0069777837727368845,0.008496320414415849,-0.023640530554643317,0.00945980535059569,20.4,False
transmittance450plus,drop_dyesSimMurcko,xgboost,-0.0028485237079159953,-0.0030051072934130668,0.010068383077744207,-0.023000564524773805,0.015196086971180897,38.2,False
transmittance450plus,drop_pred_all,xgboost,-0.014814389267310712,-0.015361174244491712,0.01285315193227979,-0.040365210674135545,0.009380694645085886,11.600000000000001,False
transmittance450plus,only_pred_fluo340,xgboost,-0.12244447481001075,-0.1232989174969375,0.02670526770355347,-0.1794373529381613,-0.07204006745413549,0.0,True
transmittance450plus,only_pred_trans340,xgboost,-0.03455833021925181,-0.03444108435656385,0.02021206811528355,-0.07377679595517893,0.0030892052280778784,4.3999999999999995,False
transmittance450plus,only_RDkitFP-RDKit,xgboost,-0.0861974727552608,-0.08596573778896688,0.019998220791613983,-0.1267896027308041,-0.04695632778410183,0.0,True
transmittance450plus,only_RDKit2D,xgboost,-0.0593075756812409,-0.059329814932856266,0.01905725900543503,-0.09632578085650235,-0.02251225460946549,0.0,True
transmittance450plus,only_xtb3,xgboost,-0.052522442227597055,-0.05283483110007098,0.021239408567926332,-0.09277301647876572,-0.010615708640305114,0.8,True
transmittance450plus,only_QM9,xgboost,-0.14580461642792442,-0.14625834141843405,0.02457094786733099,-0.19175116123187189,-0.09782382574021045,0.0,True
transmittance450plus,only_dyesChromophores,xgboost,-0.14341097212622234,-0.14385337536765622,0.025025187697720542,-0.19265985542765354,-0.09459583035534025,0.0,True
