endpoint,condition,model,point_auroc,boot_mean,boot_sd,ci95_low,ci95_high,n_boot_valid
fluorescence340_450,full,xgboost,0.8843547195992756,0.884092686598486,0.004469783080578321,0.8749869076040141,0.8924223399618599,1000
fluorescence340_450,drop_pred_fluo340,xgboost,0.8744398339245215,0.8741454849179144,0.004523690942652541,0.8654063528939041,0.8828109117624503,1000
fluorescence340_450,drop_pred_trans340,xgboost,0.883766025979021,0.8835345463760689,0.004483781665461223,0.8743574564166865,0.8915025210189396,1000
fluorescence340_450,drop_RDkitFP-RDKit,xgboost,0.8823517627887123,0.8820827383816376,0.00450783443576129,0.8727663640285368,0.8905712404330642,1000
fluorescence340_450,drop_RDKit2D,xgboost,0.8833422232684527,0.8830943422819997,0.004548833957030437,0.8738686451409652,0.8914199439279495,1000
fluorescence340_450,drop_xtb3,xgboost,0.8835206834243455,0.8832341364908664,0.004418495688649321,0.8739365322889114,0.8912965632453785,1000
fluorescence340_450,drop_QM9,xgboost,0.8834699404911069,0.883228782858642,0.004493458441002684,0.8740172784018349,0.8914227237621367,1000
fluorescence340_450,drop_dyesChromophores,xgboost,0.8834623432251248,0.883217634878887,0.004498574451214408,0.8738593837841815,0.8912173047562385,1000
fluorescence340_450,drop_dyesSimMurcko,xgboost,0.8832814640392674,0.8830232195354873,0.004471925745990277,0.8737888697158119,0.8913621014193265,1000
fluorescence340_450,drop_pred_all,xgboost,0.8737571383117424,0.8735813479027249,0.004463632653605091,0.8651866209240529,0.8819601207947207,1000
fluorescence340_450,only_pred_fluo340,xgboost,0.8824208752307434,0.8821793475409213,0.004534065176184585,0.872857668731156,0.8908036367524091,1000
fluorescence340_450,only_pred_trans340,xgboost,0.7319607454936307,0.7317304894629795,0.00597595013509351,0.7200987781568396,0.7435070935534152,1000
fluorescence340_450,only_RDkitFP-RDKit,xgboost,0.8741005838706792,0.8739620917459384,0.004628820115462272,0.8644836729789837,0.8822709758953888,1000
fluorescence340_450,only_RDKit2D,xgboost,0.8448557589128215,0.8447895014074359,0.004846498392608738,0.8353474847782859,0.8542155622112699,1000
fluorescence340_450,only_xtb3,xgboost,0.7233576355131136,0.7233462121021981,0.005808909292240777,0.7117470102747049,0.734466786124106,1000
fluorescence340_450,only_QM9,xgboost,0.635608381878351,0.6357282590199611,0.006264550252474348,0.6240873712070653,0.6482969802838706,1000
fluorescence340_450,only_dyesChromophores,xgboost,0.6745123367882372,0.6745217933928461,0.006484242136430413,0.6620570387710109,0.6876820366758253,1000
fluorescence340_450,only_dyesSimMurcko,xgboost,0.7074049455404541,0.7076223133620347,0.006183884024444874,0.6952917794059307,0.7198655477208599,1000
fluorescence340_450,only_pred_all,xgboost,0.8816126546412151,0.881385388886908,0.004582257558010634,0.872037576932632,0.8901872138729119,1000
fluorescence340_450,full,catboost,0.8852083725953235,0.8849751250549601,0.004451027579271016,0.875699864260262,0.8936352624081016,1000
fluorescence340_450,drop_pred_fluo340,catboost,0.8667023586978453,0.8665152238155259,0.004532903024632927,0.8575975768552674,0.8752226853088045,1000
fluorescence340_450,drop_pred_trans340,catboost,0.8843491066938113,0.8841075267151505,0.004503202178455881,0.8752211832763341,0.8927263900264907,1000
fluorescence340_450,drop_RDkitFP-RDKit,catboost,0.885617774518135,0.8853961776315402,0.004412214147709648,0.8766250924299519,0.8936850094512129,1000
fluorescence340_450,drop_RDKit2D,catboost,0.8859326074882735,0.885725829107661,0.004460325030477989,0.876794555908146,0.8943020702634628,1000
fluorescence340_450,drop_xtb3,catboost,0.8861085352221724,0.8858594438713306,0.004403150558842011,0.8767401439187306,0.8943770236801476,1000
fluorescence340_450,drop_QM9,catboost,0.8856990388060031,0.8854592702180664,0.004458605909297535,0.8761948185718721,0.8936647361433829,1000
fluorescence340_450,drop_dyesChromophores,catboost,0.8854172974098311,0.8851920929584196,0.004457658915192353,0.876066413933022,0.8938580061476181,1000
fluorescence340_450,drop_dyesSimMurcko,catboost,0.8854988262791017,0.8852899150970059,0.004421732331844249,0.8763569632471307,0.8935328741834551,1000
fluorescence340_450,drop_pred_all,catboost,0.8624512726100872,0.862286966259959,0.004575607627923513,0.8531192611072564,0.871054533689178,1000
fluorescence340_450,only_pred_fluo340,catboost,0.8845245997582634,0.8842860729800497,0.0045131186141072884,0.8750441317569051,0.8928153701020866,1000
fluorescence340_450,only_pred_trans340,catboost,0.7434219960731585,0.7431684913349355,0.005872829751112636,0.7313469630319828,0.7549659104499112,1000
fluorescence340_450,only_RDkitFP-RDKit,catboost,0.8606577697768361,0.8605421446210922,0.004658071950077483,0.8513385626781543,0.869123008273305,1000
