endpoint,fluorescence340_450,fluorescence340_450,fluorescence480plus,fluorescence480plus,transmittance340,transmittance340,transmittance450plus,transmittance450plus
model,xgboost,catboost,xgboost,catboost,xgboost,catboost,xgboost,catboost
condition,,,,,,,,
full,0.8843548896873199,0.8852083347979804,0.6326908086826704,0.594755871459839,0.8575543961712933,0.8638269805957628,0.6983261525212462,0.7009499549288812
drop_pred_fluo340,0.8744398339245215,0.8667023775965169,0.6442663812958829,0.6323098739171984,0.8552323578810656,0.8627028944403801,0.712399505178195,0.7009379939564468
drop_pred_trans340,0.8837661393710508,0.8843490122004531,0.6273863471218507,0.5903608090790186,0.8484037048331261,0.8499572604332735,0.6793835967224036,0.6664070289923099
drop_pred_all,0.873757062717056,0.8624513482047736,0.6371365155698827,0.6392745945136586,0.8447492151245927,0.8462749228554771,0.6835155690178918,0.6775173225689414
drop_RDkitFP-RDKit,0.882351913978085,0.8856177556194634,0.6375945180624734,0.619461582838999,0.8512517913487533,0.8601860198166229,0.689344187130501,0.6959857889149331
drop_RDKit2D,0.8833421665724379,0.88593268308296,0.6265220876105921,0.574755695305034,0.8596631316331254,0.8656190206082133,0.696340631097151,0.7094335464681967
drop_xtb3,0.8835206834243454,0.8861085163235008,0.661080357418099,0.6646034535149489,0.8516360326937935,0.8600637656955331,0.6940075165650407,0.6802636343306006
drop_QM9,0.8834698837950921,0.8856989821099882,0.6367731962848951,0.5508669018333311,0.8543065643550434,0.864302764404656,0.6935232784083063,0.6979365147828558
drop_dyesChromophores,0.8834624188198112,0.8854173163085028,0.6315083695551651,0.5487684577206449,0.8549157611829934,0.8612780117964364,0.6916113350873676,0.6951137252883591
drop_dyesSimMurcko,0.8832814640392674,0.8854986939884006,0.6646100593201305,0.6186975113729947,0.8554559802212977,0.8621041652512312,0.6954790786281707,0.7115220047459689
only_pred_fluo340,0.8824209130280866,0.8845246564542781,0.5231214191031078,0.5017219132173354,0.7408327184418465,0.7559310036451083,0.5758842148872062,0.5443260952535599
only_pred_trans340,0.7319607454936307,0.743421825985114,0.585549580971758,0.5598320804322839,0.8519735152938127,0.8559124087735404,0.6637703594779653,0.6624017342685121
only_pred_all,0.881612805830588,0.8832664584940192,0.5464740413875714,0.5713515037014528,0.8580190704578742,0.8594269185009392,0.6645795373858314,0.6617328259464663
only_RDkitFP-RDKit,0.8741005838706793,0.8606578075741793,0.6162115266896548,0.548171733319241,0.8393875621540742,0.8407159647686929,0.6121346602522024,0.6392931355254292
only_RDKit2D,0.8448558156088362,0.836043818611155,0.6365882337398105,0.626036560929745,0.8113706800252172,0.8124262327718466,0.6390223826039616,0.6280191940986737
only_xtb3,0.7233576355131138,0.7281580303895173,0.4928965574947264,0.458352600265113,0.7136211038658372,0.737951747740175,0.6458066099233302,0.6497830895771723
only_QM9,0.6356084574730374,0.639664074600465,0.5186569957678808,0.5263747781550427,0.6554275497193093,0.6633950522433929,0.552525160630423,0.555784706845627
only_dyesChromophores,0.6745123367882372,0.6784746322753177,0.4859318368982661,0.4873674985577325,0.6548649635094161,0.6587139439218965,0.5549178987978498,0.5592267485038818
only_dyesSimMurcko,0.7074049455404541,0.707460129661518,0.5389070915520559,0.5411156324177687,0.6496640776706698,0.6506017707294797,0.535810970241463,0.5383592010505358
