endpoint,label,n_features,xgboost,catboost
fluorescence340_450,Fluorescence 340/450 nm,2258,0.8592100748364717,0.8699033211996301
fluorescence480plus,Fluorescence 480/540+ nm,2258,0.6738537827042406,0.5890044170817315
transmittance340,Transmittance 340 nm,2258,0.814877240272206,0.8352890371826329
transmittance450plus,Transmittance >450 nm,2258,0.6125953389177785,0.6661714340807249
